"NatureReserve","Naturschutzgebiet","Naturschutzgebiete"
"Accommodation","Wohnraum"
"AdventurePark","Abenteuerpark","Abenteuerparks","AdventurePark","Adventureparks"
"AlpineGarden","Alpengarten"
"Apartment","Wohnung","Wohnungen"
"ArchaeologicalSite","archäolgische Stätten","archäologische Stätte"
"BarbecueHut","Grillhütte","Grillhütten"
"BodyOfWater","Bach","Bergsee","Bergseen","Bäche","Fischgewässer","Fischteich","Fischteiche","Fischwasser","Fluss","Flüsse","Gewässer","Meer","Teich","Teiche","Wasserkörper","Wasserstelle","Wasserstellen"
"Bridge","Bruecke","Bruecken","Brücke","Brücken","Hängebrücke","Hängebrücken","Steg","Stege"
"BusParkingFacility","Bus parken","Busparkplatz","Busparkplätze"
"Castle","Burg","Burgen"
"Cave","Eishöhle","Eishöhlen","Grotte","Grotten","Höhle","Höhlen","Tropfsteinhöhle","Tropfsteinhöhlen"
"Chapel","Chapel","Kapelle","Kapellen"
"Church","Church","Kapelle","Kapellen","Kirche","Kirchen"
"CityTower","CityTower","Stadtturm","Stadttürme"
"CityWall","Stadtmauer","Stadtmauern"
"CivicStructure","CivicStructure"
"Cliff","Fels","Felsen","Klippe","Klippen","Steilküste","Steilküsten"
"CongressCenter","Kongresszentren","Kongresszentrum"
"CountryHouse","Landhaus","Landhäuser"
"Crater","Krater"
"EventsVenue","Veranstaltungsort","Veranstaltungsorte"
"ExhibitionVenue","Ausstellungsort","Ausstellungsorte"
"FolkloreAttraction","Volksattraktion","Volksattraktionen"
"Fortress","Befestigung","Befestigungen","Festung","Festungen"
"Fountain","Brunnen","Fontäne","Fontänen","Fountain"
"Garden","Garten","Gärten"
"GeoTop","Geotop"
"Glaciar","Blockgletscher","Eisgletscher","Gletscher"
"HikingPassCheckpoint","Hüttenstempel","Hüttenstempel bekommen","Wandernadelstempel","Wanderstempel","Wanderstempel bekommen","Wanderstempelpunkt"
"HikingPassSummit","Gipfelbuch","Gipfelbücher","Gipfelstempel"
"House","Haus","Häuser"
"IndustrialMonument","Industiedenkmäler","Industriedenkmal","Industriemonument","Industriemonumente","Industriewahrzeichen"
"LakeBodyOfWater","See","Seen","Stausee","Stauseen"
"Landform","Landschaft","Landschaften","Landschaftsform","Landschaftsformen"
"LandmarksOrHistoricalBuildings","Wahrzeichen","historische Gebäude","historisches Gebäude"
"Maar","Maar","Maare","Maarsee","Maarseen","Trockenmaar","Trockenmaare"
"MeadowLandscape","Moor","Moore","Moorlandschaft","Moorlandschaften"
"MeetingPlace","Treffpunkt","Treffpunkte"
"Monument","Denkmal","Denkmalstätte","Denkmäler","Gedenkstätte","Gedenkstätten","Monument","Monumente"
"MountainTop","Berggipfel","Gipfel","Gipfelkreuz","Gipfelkreuze"
"NaturalHabitat","natürliche Habitate","natürliche Lebensräume","natürlicher Lebensraum","natürliches Habitat"
"NaturalMonument","Naturdenkmäler","Naturmonument","Naturmonumente","Naturwahrzeichen","Nautrdenkmal"
"NaturePath","Naturweg","Naturwege"
"Observatory","Observatorium","Planetarium","Sternwarte"
"Palace","Palace","Palast","Palazzo","Paläste","Schloss","Schlösser"
"ParkingFacility","Garage","Garagen","Parkgarage","Parkgaragen","Parkhaus","Parkhäuser","Parkplatz","Parkplätze","parken"
"Place","Ort","Orte","Place","Platz","Plätze"
"PlaceOfWorship","Evangelishce","Gottesdienst","Gottesdienste","Katholische","Kloester","Kloster","Klöster","Neuapostolische","Sonntagsmesse","Stifte","evangelischen Gottesdienst"
"Playground","Kinderspielplatz","Kinderspielplätze","Rutsche","Rutschen","Schaukel","Schaukeln","Spielpark","Spielparks","Spielplatz","Spielplätze","schaukeln"
"PublicToilet","Abort","Aborte","Klo","Klos","Klosett","Klosetts","Toilet","Toilette","Toiletten","WC","WCs","öffenentliche Toiletten","öffentliche Abort","öffentliche Aborte","öffentliche Klo","öffentliche Klos","öffentliche Klosett","öffentliche Klosetts","öffentliche Toilette","öffentliche Toiletten","öffentliche WC","öffentliche WCs","öffentliches WC"
"Reservoir","Grundwasserschutzgebiet","Grundwasserschutzgebiete","Reservoir","Reservoirs","Wasserkraftwerk","Wasserkraftwerke","Wasserreserve","Wasserreserven","Wasserschutzgebiet","Wasserschutzgebiete"
"Residence","Residence","Residenz","Residenzen"
"Ruins","Ruine","Ruinen"
"Sightseeing","Besichtigung","Besichtigungen","Sightseeing"
"SmokingRoom","Raucherraum","Raucherräume","Raucherzimmer"
"Square","Piazza","Platz","Plätze"
"SwimmingPond","Badesee","Badeseen","Badeteich","Badeteiche","Baggersee","Baggerseen"
"TouristAttraction","Attraktion","Attraktionen","Sehenswürdigkeit","Sehenswürdigkeiten","Tourismusattraktion","TouristAttraction","Touristen Attraktion","Touristen-Attraktion","TouristenAttraktion","Touristenattraktionen"
"TownHall","Gemeinde","Gemeindeamt","Gemeindeämter","Rathaus","Rathäuser","Stadthalle","TownHall"
"TownSquare","Stadtplatz","Stadtplätze"
"UnescoWorldHeritageSite","UNESCO Weltkulturerbe","UNESCO-Weltkulturerbe"
"ViewPoint","Ansicht geniessen","Ansicht genießen","Ansichten geniessen","Ansichten genießen","Aussicht","Aussicht geniessen","Aussicht genießen","Aussichten","Aussichten geniessen","Aussichten genießen","Aussichtsplattform","Aussichtsplattformen","Aussichtspunkt","Aussichtspunkte","Aussichtsturm","Aussichtstürme","Panorama geniessen","Panorama genießen","Panoramaansicht","Panoramaaussicht","Panoramaplattform","Panoramaplattformen","Panormaansichten","Panramaaussichten","Plattform","Plattformen","schöne Ansichten","schöne Aussicht","schöne Aussichten"
"Vineyard","Weinberg","Weinberge","Weingarten","Weingärten"
"Waterfall","Wasserfall","Wasserfälle"
"WayOfCross","Kreuzweg"
"WorldHeritageAttraction","Weltkultur","Weltkulturerbe"
"Zoo","Tierpark","Tierparks","Wildpark","Wilparks","Zoo","Zoos"

